session_date,timeframe_min,ib_minutes,side,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,pnl,r_multiple,combo
2025-12-10,1,15,short,2025-12-10 11:01:00,25806.25,25867.875,25683.0,2025-12-10 11:18:00,25867.875,stop,-61.625,-1.0,tf1_ib15
2025-12-12,1,15,short,2025-12-12 10:59:00,25486.75,25833.375,24793.5,2025-12-12 16:00:00,25466.0,session_close,20.75,0.05986296429859358,tf1_ib15
2025-12-15,1,15,short,2025-12-15 10:31:00,25335.0,25604.625,24795.75,2025-12-15 16:00:00,25334.75,session_close,0.25,0.0009272137227630969,tf1_ib15
2025-12-16,1,15,long,2025-12-16 09:52:00,25365.25,25280.125,25535.5,2025-12-16 10:17:00,25280.125,stop,-85.125,-1.0,tf1_ib15
2025-12-17,1,15,short,2025-12-17 09:47:00,25257.5,25372.25,25028.0,2025-12-17 11:15:00,25028.0,target,229.5,2.0,tf1_ib15
2025-12-18,1,15,long,2025-12-18 10:31:00,25330.25,25251.125,25488.5,2025-12-18 12:11:00,25251.125,stop,-79.125,-1.0,tf1_ib15
2025-12-19,1,15,long,2025-12-19 10:01:00,25572.25,25452.75,25811.25,2025-12-19 16:00:00,25580.75,session_close,8.5,0.07112970711297072,tf1_ib15
2025-12-22,1,15,short,2025-12-22 10:37:00,25642.75,25733.5,25461.25,2025-12-22 16:00:00,25688.25,session_close,-45.5,-0.5013774104683195,tf1_ib15
2025-12-23,1,15,long,2025-12-23 11:29:00,25752.25,25688.0,25880.75,2025-12-23 16:00:00,25811.25,session_close,59.0,0.9182879377431906,tf1_ib15
2025-12-24,1,15,long,2025-12-24 11:12:00,25844.0,25805.75,25920.5,2025-12-24 13:15:00,25864.75,session_close,20.75,0.5424836601307189,tf1_ib15
2025-12-26,1,15,short,2025-12-26 10:04:00,25851.5,25898.0,25758.5,2025-12-26 10:36:00,25898.0,stop,-46.5,-1.0,tf1_ib15
2025-12-29,1,15,short,2025-12-29 12:29:00,25652.5,25741.625,25474.25,2025-12-29 14:49:00,25741.625,stop,-89.125,-1.0,tf1_ib15
2025-12-30,1,15,short,2025-12-30 09:46:00,25680.75,25707.625,25627.0,2025-12-30 09:47:00,25707.625,stop,-26.875,-1.0,tf1_ib15
2025-12-31,1,15,short,2025-12-31 14:33:00,25564.75,25650.625,25393.0,2025-12-31 16:00:00,25455.25,session_close,109.5,1.275109170305677,tf1_ib15
2026-01-02,1,15,long,2026-01-02 09:48:00,25757.75,25685.875,25901.5,2026-01-02 10:11:00,25685.875,stop,-71.875,-1.0,tf1_ib15
2026-01-05,1,15,long,2026-01-05 10:29:00,25676.0,25605.5,25817.0,2026-01-05 13:08:00,25605.5,stop,-70.5,-1.0,tf1_ib15
2026-01-06,1,15,long,2026-01-06 09:49:00,25692.75,25642.875,25792.5,2026-01-06 11:08:00,25642.875,stop,-49.875,-1.0,tf1_ib15
2026-01-07,1,15,long,2026-01-07 10:29:00,25871.0,25817.625,25977.75,2026-01-07 10:40:00,25817.625,stop,-53.375,-1.0,tf1_ib15
2026-01-08,1,15,short,2026-01-08 10:00:00,25603.25,25708.625,25392.5,2026-01-08 10:29:00,25708.625,stop,-105.375,-1.0,tf1_ib15
2026-01-09,1,15,long,2026-01-09 10:27:00,25823.0,25719.375,26030.25,2026-01-09 16:00:00,25933.25,session_close,110.25,1.0639324487334139,tf1_ib15
2026-01-12,1,15,long,2026-01-12 11:11:00,25936.25,25818.125,26172.5,2026-01-12 16:00:00,25952.25,session_close,16.0,0.13544973544973546,tf1_ib15
2026-01-13,1,15,short,2026-01-13 10:03:00,25906.0,25986.75,25744.5,2026-01-13 11:48:00,25986.75,stop,-80.75,-1.0,tf1_ib15
2026-01-14,1,15,short,2026-01-14 10:01:00,25540.5,25705.5,25210.5,2026-01-14 16:00:00,25636.5,session_close,-96.0,-0.5818181818181818,tf1_ib15
2026-01-15,1,15,short,2026-01-15 10:46:00,25851.0,25899.875,25753.25,2026-01-15 11:02:00,25899.875,stop,-48.875,-1.0,tf1_ib15
2026-01-16,1,15,short,2026-01-16 10:00:00,25728.5,25855.375,25474.75,2026-01-16 16:00:00,25684.5,session_close,44.0,0.34679802955665023,tf1_ib15
2026-01-19,1,15,long,2026-01-19 10:07:00,25337.75,25268.625,25476.0,2026-01-19 13:00:00,25398.25,session_close,60.5,0.8752260397830018,tf1_ib15
2026-01-20,1,15,long,2026-01-20 09:52:00,25358.25,25295.5,25483.75,2026-01-20 10:02:00,25295.5,stop,-62.75,-1.0,tf1_ib15
2026-01-21,1,15,long,2026-01-21 09:58:00,25317.75,25175.375,25602.5,2026-01-21 12:13:00,25175.375,stop,-142.375,-1.0,tf1_ib15
2026-01-22,1,15,short,2026-01-22 09:47:00,25611.0,25672.125,25488.75,2026-01-22 11:22:00,25672.125,stop,-61.125,-1.0,tf1_ib15
2026-01-23,1,15,long,2026-01-23 10:00:00,25663.75,25607.5,25776.25,2026-01-23 10:36:00,25776.25,target,112.5,2.0,tf1_ib15
2026-01-26,1,15,long,2026-01-26 09:59:00,25844.75,25765.625,26003.0,2026-01-26 16:00:00,25845.0,session_close,0.25,0.00315955766192733,tf1_ib15
2026-01-27,1,15,long,2026-01-27 10:01:00,26048.0,25964.875,26214.25,2026-01-27 16:00:00,26076.0,session_close,28.0,0.3368421052631579,tf1_ib15
2026-01-28,1,15,short,2026-01-28 10:50:00,26187.5,26254.875,26052.75,2026-01-28 16:00:00,26149.25,session_close,38.25,0.5677179962894249,tf1_ib15
2026-01-29,1,15,short,2026-01-29 09:54:00,25911.0,26061.0,25611.0,2026-01-29 10:45:00,25611.0,target,300.0,2.0,tf1_ib15
2026-01-30,1,15,short,2026-01-30 10:30:00,25794.0,25876.75,25628.5,2026-01-30 10:36:00,25876.75,stop,-82.75,-1.0,tf1_ib15
2026-02-02,1,15,long,2026-02-02 09:57:00,25767.5,25636.25,26030.0,2026-02-02 16:00:00,25856.75,session_close,89.25,0.68,tf1_ib15
2026-02-03,1,15,short,2026-02-03 09:56:00,25700.25,25837.625,25425.5,2026-02-03 12:13:00,25425.5,target,274.75,2.0,tf1_ib15
2026-02-04,1,15,short,2026-02-04 10:00:00,25194.25,25310.0,24962.75,2026-02-04 11:47:00,24962.75,target,231.5,2.0,tf1_ib15
2026-02-05,1,15,short,2026-02-05 10:35:00,24567.75,24794.0,24115.25,2026-02-05 11:31:00,24794.0,stop,-226.25,-1.0,tf1_ib15
2026-02-06,1,15,long,2026-02-06 09:52:00,24975.75,24815.375,25296.5,2026-02-06 10:02:00,24815.375,stop,-160.375,-1.0,tf1_ib15
2026-02-09,1,15,long,2026-02-09 10:07:00,25198.5,25053.875,25487.75,2026-02-09 16:00:00,25337.75,session_close,139.25,0.9628349178910977,tf1_ib15
2026-02-10,1,15,short,2026-02-10 15:55:00,25227.75,25337.625,25008.0,2026-02-10 16:00:00,25219.75,session_close,8.0,0.07281001137656427,tf1_ib15
2026-02-11,1,15,short,2026-02-11 10:10:00,25236.25,25402.25,24904.25,2026-02-11 16:00:00,25278.5,session_close,-42.25,-0.2545180722891566,tf1_ib15
2026-02-12,1,15,short,2026-02-12 09:59:00,25204.0,25348.25,24915.5,2026-02-12 11:16:00,24915.5,target,288.5,2.0,tf1_ib15
2026-02-13,1,15,long,2026-02-13 09:48:00,24815.5,24689.25,25068.0,2026-02-13 09:53:00,24689.25,stop,-126.25,-1.0,tf1_ib15
2026-02-16,1,15,long,2026-02-16 09:57:00,24781.0,24744.0,24855.0,2026-02-16 10:20:00,24744.0,stop,-37.0,-1.0,tf1_ib15
2026-02-17,1,15,short,2026-02-17 09:51:00,24584.75,24710.75,24332.75,2026-02-17 11:09:00,24710.75,stop,-126.0,-1.0,tf1_ib15
2026-02-18,1,15,long,2026-02-18 09:55:00,24886.5,24810.375,25038.75,2026-02-18 10:06:00,25038.75,target,152.25,2.0,tf1_ib15
2026-02-19,1,15,long,2026-02-19 09:56:00,24908.25,24823.25,25078.25,2026-02-19 11:50:00,24823.25,stop,-85.0,-1.0,tf1_ib15
