session_date,timeframe_min,ib_minutes,side,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,pnl,r_multiple,combo
2025-11-28,1,15,long,2025-11-28 11:07:00,25677.5,25591.25,25850.0,2025-11-28 13:15:00,25732.0,session_close,54.5,0.6318840579710145,tf1_ib15
2025-12-01,1,15,long,2025-12-01 09:51:00,25570.75,25467.0,25778.25,2025-12-01 15:56:00,25620.0,session_close,49.25,0.4746987951807229,tf1_ib15
2025-12-02,1,15,long,2025-12-02 10:01:00,25871.5,25733.75,26147.0,2025-12-02 11:24:00,25733.75,stop,-137.75,-1.0,tf1_ib15
2025-12-02,1,15,short,2025-12-02 11:25:00,25714.25,25861.75,25419.25,2025-12-02 12:29:00,25861.75,stop,-147.5,-1.0,tf1_ib15
2025-12-02,1,15,long,2025-12-02 12:32:00,25867.75,25733.75,26135.75,2025-12-02 16:00:00,25861.0,session_close,-6.75,-0.05037313432835821,tf1_ib15
2025-12-03,1,15,short,2025-12-03 09:54:00,25690.25,25780.75,25509.25,2025-12-03 10:03:00,25780.75,stop,-90.5,-1.0,tf1_ib15
2025-12-03,1,15,long,2025-12-03 10:04:00,25822.0,25705.5,26055.0,2025-12-03 16:00:00,25909.0,session_close,87.0,0.7467811158798283,tf1_ib15
2025-12-04,1,15,short,2025-12-04 09:58:00,25807.0,25962.25,25496.5,2025-12-04 16:00:00,25879.25,session_close,-72.25,-0.46537842190016104,tf1_ib15
2025-12-05,1,15,long,2025-12-05 09:54:00,26040.5,25928.75,26264.0,2025-12-05 11:32:00,25928.75,stop,-111.75,-1.0,tf1_ib15
2025-12-05,1,15,short,2025-12-05 11:33:00,25924.75,26027.75,25718.75,2025-12-05 16:00:00,25988.25,session_close,-63.5,-0.616504854368932,tf1_ib15
2025-12-08,1,15,short,2025-12-08 09:49:00,25999.0,26106.0,25785.0,2025-12-08 16:00:00,25917.0,session_close,82.0,0.7663551401869159,tf1_ib15
2025-12-09,1,15,long,2025-12-09 10:03:00,25919.5,25820.0,26118.5,2025-12-09 16:00:00,25957.25,session_close,37.75,0.3793969849246231,tf1_ib15
2025-12-10,1,15,long,2025-12-10 09:48:00,25917.0,25825.5,26100.0,2025-12-10 10:41:00,25825.5,stop,-91.5,-1.0,tf1_ib15
